date,zec,ltc,eth,btc
1820500,11.283463,66.10072,698.084997,27.3543733
1820400,14.558948,147.258633,64.565705,31.5251203
1820300,47.627546,225.6483,125.533806,82.6917219
1820200,567.118268,922.477243,123.162661,109.571967
1820100,542.952762,747.67101,646.423971,91.0765972
1820000,1257.94903,3049.56063,2507.47097,193.22991
17202300,32.889898,497.27926,521.583278,97.6335514
17202200,535.019977,60.21832,535.69915,40.1164628
17202100,677.325629,24.9612,371.462524,166.463347
17202000,219.996263,663.051111,580.412582,61.4242169
17201900,624.731039,12641.6893,1792.78782,90.6347608
17201800,275.119356,207.27296,912.905969,203.765478
17201700,751.55878,938.74174,247.526466,71.0397143
17201600,844.263202,479.96918,1433.07344,119.397715
17201500,422.21698,849.94375,899.92942,147.071235
17201400,217.287399,591.25812,146.939021,22.2001264
17201300,544.737659,938.60123,264.18267,27.5590157
17201200,189.11423,308.899868,538.206157,13.0384728
17201100,91.9998,942.50906,828.284595,28.5931718
17201000,80.186716,2517.61315,11.059575,1.63054144
1720900,163.774547,1642.3867,27.294487,7.0725539
1720800,0.312539,166.28637,113.379433,28.7707809
1720700,396.204539,239.810681,129.572956,117.275959
1720600,90.9080184,66.28467,65.340099,12.0876473
1720500,2.760635,53.33999,68.8648749,21.5182207
1720400,29.720964,437.894765,121.556663,56.7551731
1720300,476.389072,174.79442,141.51979,33.0114911
1720200,57.757228,703.15768,400.323185,66.4437906
1720100,930.110471,670.160377,367.598515,58.5427585
1720000,969.765232,2378.85267,1871.89491,378.540995
16202300,135.416504,802.06645,693.421919,201.878582
16202200,759.638134,237.59459,244.568881,123.707708
16202100,581.285095,322.42957,2234.14943,44.3681693
16202000,157.543852,509.35087,175.086037,30.1560626
16201900,8.39246172,516.47396,872.968954,43.5272164
16201800,0.209244,264.49562,767.725762,35.5598227
16201700,206.252708,692.68811,552.673457,45.6192813
16201600,43.010432,190.69237,1245.11226,52.8221317
16201500,407.857809,621.63123,432.687041,45.0736936
16201400,168.575728,500.09856,2075.16512,50.4515864
16201300,569.421364,1404.36008,2857.88714,51.0602488
16201200,3.95961,243.65147,11727.8455,16.0130675
16201100,172.466006,124.55539,372.072639,50.4287498
16201000,253.959066,1.35827,1471.94072,30.7673318
1620900,118.587973,189.60238,1018.57078,7.76399405
1620800,127.352087,688.25998,1281.67317,41.7648127
1620700,36.2637834,7.7301,539.576449,17.5226826
1620600,270.471241,284.122252,543.598949,5.63423736
1620500,96.9309221,138.830058,1276.68552,4.55666323
1620400,197.343119,1310.67025,1482.01478,16.261579
1620300,234.562582,831.871925,620.084154,29.4469707
1620200,371.666506,1683.69937,1345.26111,181.621837
1620100,22.064703,111.98164,583.56084,20.9173989
1620000,22.6425698,62.30276,52.294126,14.5238761
15202300,12.6948054,138.25765,106.942865,28.4852739
15202200,0.064641,108.27525,584.853437,19.3878243
15202100,756.978329,799.84094,65.7988857,37.4542884
15202000,163.028503,0.25845,17.648817,5.96805771
15201900,19.631793,148.91805,302.594577,14.1060559
15201800,559.636447,34.0841988,24.200342,10.5742611
15201700,242.295723,131.488612,287.52779,4.56927395
15201600,43.201695,1519.4617,1251.53453,23.9683785
15201500,46.687089,521.90911,807.689914,7.22927597
15201400,31.828756,55.05946,375.111931,29.7585439
15201300,0.064998,220.36747,410.548285,11.6217817
15201200,135.523137,17.08313,110.955928,4.74429004
15201100,66.311142,172.57052,77.744482,3.2395989
15201000,48.036596,198.42905,800.640146,5.80586307
1520900,130.158102,60.56336,38.1964159,15.9581442
1520800,154.165683,0.34677,507.515245,18.0464531
1520700,95.0146,1.10851,16.237517,5.5542749
1520600,3.296291,0.30017,137.321976,14.3945602
1520500,965.422895,116.412636,316.15272,51.2363421
1520400,257.366847,133.11382,68.87757,37.3689893
1520300,200.896742,1075.60225,133.725458,11.7383148
1520200,13.938533,204.30091,213.805675,31.8600782
1520100,168.865016,436.45229,333.825804,151.184581
1520000,102.47895,294.17074,25.676313,10.5190972
14202300,428.106467,134.21969,6.090784,6.02842082
14202200,164.573205,11.31157,429.951187,5.03505093
14202100,966.311765,24.51198,30.2965451,4.38838464
14202000,411.303551,281.63218,448.443791,25.2139286
14201900,106.38684,59.48395,24.73878,24.3813676
14201800,92.9834966,47.18537,404.426682,24.2529141
14201700,60.2831954,12.23291,88.0768026,8.98958405
14201600,25.35712,60.04698,4.62373457,33.1214382
14201500,0.530788,2.5082,12.097658,3.7182233
14201400,80.141392,24.31079,16.8331491,5.03312023
14201300,62.133571,17.51747,151.291704,6.12436382
14201200,0,18.15364,444.599166,11.9740392
14201100,4.10118,10.97147,180.378478,17.3003542
14201000,3,189.75607,467.514743,16.7283805
1420900,7.142433,181.88536,563.641855,8.20747233
1420800,0.316695,0.0708,110.748502,14.2963989
1420700,38.096053,446.94029,524.853141,21.1746534
1420600,58.373362,5.8037,1289.01786,9.97072154
1420500,18.683941,39.55481,561.510713,2.36182091
1420400,4.476822,111.974648,559.203371,55.8783431
1420300,5.493589,5.49551,51.911236,44.3999813
1420200,4.631127,10.72385,340.39537,26.8840749
1420100,112.970671,26.42033,305.371926,12.2843117
1420000,30.293289,105.90217,521.031521,14.8894947
13202300,94.199423,138.3209,427.635723,32.6317286
13202200,18.26401,9.13004,383.155561,33.1070622
13202100,478.796745,18.23478,920.933691,43.506364
13202000,10.109182,47.54741,379.875437,24.1511197
13201900,38.089359,351.78356,165.593982,63.2389623
13201800,0.342888,44.39526,183.036222,39.7433087
13201700,1.528301,258.59293,1504.59998,72.5752216
13201600,132.546001,768.50352,666.187842,74.8502486
13201500,15.4155979,125.01438,54.7174381,64.5036929
13201400,26.165809,67.52841,1439.58611,126.949674
13201300,7.070101,205.412544,690.986308,34.5302004
13201200,32.078689,41.81282,729.406119,27.4602795
13201100,2.904007,45.57903,1631.43325,7.32787218
13201000,0.222071,42.4577,2448.4576,15.9938522
1320900,18.410375,113.575467,1988.89575,20.1330537
1320800,3.609821,388.94657,2861.54705,17.7846004
1320700,35.944077,32.0798,727.49149,91.9966399
1320600,3.670632,9.23153,541.306261,5.0651825
1320500,11.269258,165.54233,960.415579,68.8405422
1320400,82.025694,2936.89206,1263.57301,266.842527
1320300,46.36348,129.41203,1796.12582,22.1806503
1320200,3.1741424,262.998303,419.987775,55.2934535
